"","Wage","Education","Experience","Black","SMSA","Region"
"332",593.54,12,12,"No","No","NE"
"333",222.22,11,1,"No","No","NE"
"334",286.76,12,3,"No","No","NE"
"335",434.33,11,15,"No","No","NE"
"336",322.72,8,23,"No","No","NE"
"337",332.38,12,5,"No","No","NE"
"338",296.77,12,4,"No","No","NE"
"339",218.42,12,4,"No","No","NE"
"340",636.28,14,13,"No","No","NE"
"341",546.06,9,37,"No","No","NE"
"342",700.38,14,7,"No","No","NE"
"343",546.06,12,15,"No","Yes","NE"
"344",451.09,14,4,"No","Yes","NE"
"345",451.09,12,12,"No","No","NE"
"346",1241.69,16,22,"No","Yes","NE"
"347",321.5,15,1,"No","Yes","NE"
"348",807.22,12,4,"No","Yes","NE"
"349",692.81,16,13,"No","Yes","NE"
"350",474.83,18,9,"No","Yes","NE"
"351",379.87,10,40,"No","Yes","NE"
"352",617.28,12,39,"No","Yes","NE"
"353",498.58,12,41,"No","Yes","NE"
"354",712.25,8,44,"No","Yes","NE"
"355",569.8,8,40,"No","Yes","NE"
"356",821.46,16,8,"No","Yes","NE"
"357",522.32,12,3,"No","Yes","NE"
"358",522.32,12,8,"No","Yes","NE"
"359",522.32,12,5,"No","Yes","NE"
"360",508.07,14,14,"No","Yes","NE"
"361",830.96,12,49,"No","Yes","NE"
"362",712.25,13,6,"No","Yes","NE"
"363",1185.19,12,11,"No","Yes","NE"
"364",641.03,12,11,"No","Yes","NE"
"365",807.41,18,5,"No","No","NE"
"366",973.41,18,23,"No","Yes","NE"
"367",756.58,16,12,"No","No","NE"
"368",641.03,14,24,"No","No","NE"
"369",821.39,13,35,"No","No","NE"
"370",351.08,12,2,"No","No","NE"
"371",356.13,8,9,"No","Yes","NE"
"372",712.25,18,2,"No","Yes","NE"
"373",796.51,16,14,"No","Yes","NE"
"374",728.4,16,3,"No","Yes","NE"
"375",569.8,15,4,"No","Yes","NE"
"376",820.62,14,13,"No","Yes","NE"
"377",854.7,13,8,"No","Yes","NE"
"378",902.18,14,10,"No","Yes","NE"
"379",1020.89,16,18,"No","Yes","NE"
"380",688.51,16,36,"No","Yes","NE"
"381",593.54,12,10,"No","No","NE"
"382",472.44,11,20,"No","No","NE"
"383",457.67,12,25,"No","No","NE"
"384",878.44,12,15,"No","No","NE"
"385",452.49,11,14,"No","No","NE"
"386",546.06,13,27,"No","No","NE"
"387",310.28,10,27,"No","No","NE"
"388",569.8,12,7,"No","Yes","NE"
"389",807.22,16,3,"No","Yes","NE"
"390",830.96,16,10,"No","Yes","NE"
"391",807.22,14,29,"No","Yes","NE"
"392",92.59,12,25,"No","Yes","NE"
"393",546.06,14,9,"No","Yes","NE"
"394",830.96,12,7,"No","Yes","NE"
"395",759.73,14,29,"No","Yes","NE"
"396",617.28,14,-1,"No","Yes","NE"
"397",1471.98,16,37,"No","Yes","NE"
"398",1163.34,14,27,"No","Yes","NE"
"399",241.55,17,13,"No","Yes","NE"
"400",759.73,12,17,"No","No","NE"
"401",1128.75,12,34,"No","No","NE"
"402",757.58,16,7,"No","No","NE"
"403",180.04,12,2,"No","No","NE"
"404",607.05,7,41,"No","No","NE"
"405",427.35,14,16,"No","No","NE"
"406",308.64,14,-1,"No","No","NE"
"407",2029.91,14,18,"No","Yes","NE"
"408",900.21,14,19,"No","No","NE"
"409",735.99,12,20,"No","No","NE"
"410",546.06,16,2,"No","No","NE"
"411",403.61,11,27,"No","No","NE"
"412",688.51,12,11,"No","No","NE"
"413",237.42,18,15,"No","No","NE"
"414",712.25,12,5,"No","No","NE"
"415",385.8,11,2,"No","No","NE"
"416",1210.83,12,16,"No","Yes","NE"
"417",1495.73,18,20,"No","Yes","NE"
"418",94.97,8,14,"No","Yes","NE"
"419",467.71,12,12,"No","No","NE"
"420",1187.08,16,33,"No","No","NE"
"421",422.6,14,17,"No","No","NE"
"422",997.15,14,16,"No","No","NE"
"423",949.67,16,38,"No","Yes","NE"
"424",1234.57,15,4,"No","Yes","NE"
"425",712.25,12,6,"No","Yes","NE"
"426",937.1,12,23,"No","Yes","NE"
"427",534.19,16,3,"No","Yes","NE"
"428",641.03,14,13,"No","Yes","NE"
"429",593.54,14,11,"No","Yes","NE"
"430",890.41,12,32,"No","No","NE"
"431",536.89,12,42,"No","No","NE"
"432",593.54,8,32,"No","Yes","NE"
"433",370.37,12,25,"No","Yes","NE"
"434",344.25,14,1,"No","Yes","NE"
"435",237.42,12,4,"No","Yes","NE"
"436",593.54,14,16,"No","Yes","NE"
"437",280.15,12,31,"No","Yes","NE"
"438",973.41,12,44,"No","Yes","NE"
"439",1127.73,17,15,"No","Yes","NE"
"440",1163.34,12,17,"No","Yes","NE"
"441",735.99,16,18,"No","Yes","NE"
"442",332.38,12,3,"No","No","NE"
"443",556.77,10,43,"No","No","NE"
"444",259.26,9,11,"No","No","NE"
"445",274.35,10,8,"No","Yes","NE"
"446",296.3,10,41,"No","Yes","NE"
"447",641.03,12,12,"No","No","NE"
"448",712.25,16,16,"No","No","NE"
"449",407.31,8,45,"No","No","NE"
"450",222.22,10,25,"No","No","NE"
"451",130.58,8,38,"No","No","NE"
"452",284.9,8,46,"No","No","NE"
"453",399.42,12,23,"No","No","NE"
"454",315.74,12,3,"No","No","NE"
"455",688.51,12,12,"No","No","NE"
"456",379.87,16,9,"No","No","NE"
"457",580.97,16,-1,"No","No","NE"
"458",419.75,18,41,"No","No","NE"
"459",427.35,12,12,"No","No","NE"
"460",712.25,12,12,"No","No","NE"
"461",448.72,16,20,"No","No","NE"
"462",997.15,14,13,"No","No","NE"
"463",874.49,16,16,"No","No","NE"
"464",686.73,10,17,"No","No","NE"
"465",166.19,9,8,"No","No","NE"
"466",1234.57,14,16,"No","Yes","NE"
"467",451.09,12,15,"No","Yes","NE"
"468",493.83,12,16,"No","No","NE"
"469",401.23,12,8,"No","No","NE"
"470",500.95,14,24,"No","No","NE"
"471",617.28,12,12,"No","No","NE"
"472",293.21,12,2,"No","No","NE"
"473",3600.82,18,27,"No","Yes","NE"
"474",474.83,16,4,"No","Yes","NE"
"475",471.79,12,4,"No","Yes","NE"
"476",1816.24,16,30,"No","Yes","NE"
"477",1448.24,13,32,"No","Yes","NE"
"478",356.13,12,1,"No","Yes","NE"
"479",474.83,12,4,"No","Yes","NE"
"480",925.93,6,33,"No","No","NE"
"481",522.32,18,32,"No","No","NE"
"482",517.19,12,26,"No","Yes","NE"
"483",712.25,9,16,"No","Yes","NE"
"484",776.64,12,21,"No","Yes","NE"
"485",854.7,12,13,"No","Yes","NE"
"486",584.05,12,14,"No","Yes","NE"
"487",657.64,12,34,"No","Yes","NE"
"488",174.85,12,0,"No","Yes","NE"
"489",819.09,17,3,"No","No","NE"
"490",522.32,12,15,"No","No","NE"
"491",811.32,12,17,"No","Yes","NE"
"492",427.35,17,2,"No","Yes","NE"
"493",783.48,17,14,"No","Yes","NE"
"494",451.09,15,19,"No","No","NE"
"495",1044.63,12,26,"No","Yes","NE"
"496",1139.6,18,13,"No","Yes","NE"
"497",206.55,12,0,"No","Yes","NE"
"498",1115.86,18,26,"No","Yes","NE"
"499",458.55,16,10,"No","Yes","NE"
"500",628.82,13,17,"No","Yes","NE"
"501",524.69,12,22,"No","Yes","NE"
"502",707.5,12,24,"No","No","NE"
"503",474.83,12,14,"No","No","NE"
"504",830.96,16,16,"No","No","NE"
"505",688.51,16,3,"No","No","NE"
"506",352.73,12,16,"No","Yes","NE"
"507",783.48,14,27,"No","Yes","NE"
"508",854.7,12,4,"No","No","NE"
"509",498.58,10,37,"No","No","NE"
"510",1270.18,16,22,"No","No","NE"
"511",745.01,18,21,"No","No","NE"
"512",627.57,15,-1,"No","No","NE"
"513",356.13,12,13,"No","No","NE"
"514",314.69,18,11,"No","No","NE"
"515",385.3,8,47,"No","No","NE"
"516",166.19,11,17,"No","No","NE"
"517",641.03,16,15,"No","No","NE"
"518",436.59,14,8,"No","No","NE"
"519",222.22,12,48,"No","Yes","NE"
"520",997.15,12,31,"No","Yes","NE"
"521",474.83,11,14,"No","Yes","NE"
"522",451.09,12,17,"No","No","NE"
"523",712.25,12,9,"No","No","NE"
"524",366.74,13,15,"No","No","NE"
"525",336.7,14,19,"No","No","NE"
"526",213.58,12,48,"No","No","NE"
"527",394.11,12,6,"No","No","NE"
"528",712.25,13,13,"No","Yes","NE"
"529",902.18,12,17,"No","No","NE"
"530",1358.02,14,36,"No","No","NE"
"531",461.49,12,4,"No","Yes","NE"
"532",636.02,12,40,"No","No","NE"
"533",510.45,15,19,"No","Yes","NE"
"534",510.45,14,5,"No","Yes","NE"
"535",276.95,14,19,"No","No","NE"
"536",666.67,12,22,"No","Yes","NE"
"537",712.25,16,18,"No","No","NE"
"538",766.86,18,15,"No","No","NE"
"539",474.83,12,10,"No","No","NE"
"540",427.35,12,27,"No","No","NE"
"541",410.49,9,38,"No","No","NE"
"542",493.83,8,32,"No","No","NE"
"543",942.55,18,27,"No","No","NE"
"544",522.32,16,14,"No","No","NE"
"545",522.32,12,10,"No","No","NE"
"546",338.9,12,2,"No","No","NE"
"547",1899.34,16,29,"No","No","NE"
"548",997.63,16,11,"No","Yes","NE"
"549",617.28,12,17,"No","Yes","NE"
"550",925.93,12,41,"No","Yes","NE"
"551",854.7,12,40,"No","No","NE"
"552",617.28,16,-1,"No","No","NE"
"553",754.99,12,17,"No","No","NE"
"554",427.35,18,19,"No","Yes","NE"
"555",497.01,18,12,"No","Yes","NE"
"556",439.22,12,17,"No","No","NE"
"557",1305.79,12,28,"No","No","NE"
"558",593.54,12,9,"No","Yes","NE"
"559",394.11,16,8,"No","Yes","NE"
"560",365.73,13,21,"No","No","NE"
"561",724.51,18,19,"No","No","NE"
"562",496.01,8,33,"No","No","NE"
"563",90.22,12,43,"No","No","NE"
"564",441.36,14,25,"No","No","NE"
"565",973.41,12,22,"No","No","NE"
"566",712.25,14,10,"No","No","NE"
"567",182.5,13,18,"No","No","NE"
"568",740.74,17,15,"No","No","NE"
"569",411.7,12,19,"No","No","NE"
"570",178.06,16,3,"No","No","NE"
"571",107.19,16,3,"No","No","NE"
"572",498.58,12,34,"No","No","NE"
"573",356.13,14,8,"No","No","NE"
"574",641.03,16,17,"No","No","NE"
"575",2374.15,16,8,"No","No","NE"
"576",216.05,15,17,"No","No","NE"
"577",1020.29,18,2,"No","No","NE"
"578",261.16,16,3,"No","No","NE"
"579",712.25,18,14,"No","No","NE"
"580",522.32,10,26,"No","No","NE"
"581",546.06,16,37,"No","No","NE"
"582",617.28,18,16,"No","No","NE"
"583",474.83,11,15,"No","No","NE"
"584",498.58,18,21,"No","No","NE"
"585",498.58,14,4,"No","No","NE"
"586",439.22,14,2,"No","No","NE"
"587",498.58,12,31,"No","No","NE"
"588",308.64,12,6,"No","No","NE"
"589",474.83,12,4,"No","No","NE"
"590",498.58,14,6,"No","Yes","NE"
"591",498.58,14,5,"No","Yes","NE"
"592",432.1,18,10,"No","Yes","NE"
"593",1495.73,16,32,"No","Yes","NE"
"594",302.34,14,2,"No","Yes","NE"
"595",1152.8,18,2,"No","Yes","NE"
"596",1068.38,12,5,"No","Yes","NE"
"597",395.47,12,15,"No","No","NE"
"598",345.68,12,8,"No","No","NE"
"599",1044.63,17,32,"No","No","NE"
"600",427.35,12,15,"No","No","NE"
"601",648.72,18,26,"No","No","NE"
"602",444.44,18,23,"No","No","NE"
"603",569.8,9,43,"No","No","NE"
"604",403.61,10,31,"No","No","NE"
"605",356.13,12,28,"No","No","NE"
"606",244.94,12,5,"No","No","NE"
"607",237.42,12,6,"No","No","NE"
"608",545.47,12,27,"No","No","NE"
"609",284.9,12,18,"No","No","NE"
"610",617.28,12,15,"No","No","NE"
"611",914.06,18,11,"No","No","NE"
"612",356.13,18,10,"No","No","NE"
"613",712.25,12,11,"No","No","NE"
"614",712.25,12,12,"No","No","NE"
"615",664.77,9,32,"No","No","NE"
"616",997.15,16,9,"No","No","NE"
"617",281.8,16,15,"No","No","NE"
"618",346.21,7,27,"No","No","NE"
"619",356.13,12,10,"No","No","NE"
"620",213.68,12,29,"No","No","NE"
"621",403.61,7,38,"No","Yes","NE"
"622",712.25,16,3,"No","Yes","NE"
"623",646.33,15,33,"No","Yes","NE"
"624",546.06,12,23,"No","Yes","NE"
"625",462.96,11,4,"No","Yes","NE"
"626",186.89,11,20,"No","Yes","NE"
"627",284.9,10,42,"No","Yes","NE"
"628",543.54,12,11,"No","Yes","NE"
"629",213.24,14,21,"No","No","NE"
"630",617.28,12,3,"No","No","NE"
"631",2541.76,12,27,"No","No","NE"
"632",652.9,12,22,"No","Yes","NE"
"633",593.54,12,7,"No","Yes","NE"
"634",664.77,12,12,"No","Yes","NE"
"635",914.06,14,12,"No","Yes","NE"
"636",641.03,10,44,"No","No","NE"
"637",308.64,12,4,"No","No","NE"
"638",515.33,12,42,"No","No","NE"
"639",474.68,11,6,"No","No","NE"
"640",2184.24,14,21,"No","No","NE"
"641",252.3,8,24,"No","No","NE"
"642",379.87,16,13,"No","No","NE"
"643",709.22,18,28,"No","No","NE"
"644",759.73,16,33,"No","No","NE"
"645",474.83,18,28,"No","No","NE"
"646",555.56,16,38,"No","No","NE"
"647",830.96,16,30,"No","No","NE"
"648",569.8,15,0,"No","No","NE"
"649",1187.08,18,43,"No","No","NE"
"650",339.27,10,37,"No","No","NE"
"651",498.58,12,8,"No","Yes","NE"
"652",200.83,9,12,"No","Yes","NE"
"653",320.22,12,14,"No","Yes","NE"
"654",278.42,12,5,"No","Yes","NE"
"655",493.83,16,0,"No","Yes","NE"
"656",705.13,18,4,"No","Yes","NE"
"657",1115.86,16,19,"No","Yes","NE"
"658",764.48,14,20,"No","No","NE"
"659",427.35,12,19,"No","No","NE"
"660",436.25,2,24,"No","No","NE"
"661",237.42,18,21,"No","No","NE"
"662",737.93,12,30,"No","No","NE"
"663",949.67,12,18,"No","No","NE"
"664",320.13,12,4,"No","No","NE"
